"PRODUCT","PHYSICAL","LOGICAL","GMI FC","R&N A.C.N","GROUP","CLEARING ADMIN","CRP CODE","COMMODITY REFERENCE PRICE (CRP)","PAIRED SWAP BASIS","REPORTABLE LEVEL"
"ICE Heating Oil/Brent Crack Spread",".",".","","","","HO/BRN Crack","","","","",
"ICE RBOB Gasoline/Brent Crack Spread",".",".","","","","RBOB/BRN Crack","","","","",
"Western Barley Futures","AB","AB ","","","","Western Barley","","","","",
"Western Barley Options","AB","AB ","","","","Western Barley","","","","",
"ICE Richards Bay Coal Futures","AFR","AFR","PL","NN90","","ICE Coal Rbay","","","","",
"ICE Richards Bay Coal Options","AFR","AFR","PL","NN90","","ICE Coal Rbay","","","","",
"Cross Currency Pairs Australian Dollar/New Zealand Dollar Futures","AR","AR ","","","","FOREX","","","","",
"Cross Currency Pairs Australian Dollar/Canadian Dollar Futures","AS","AS ","","","","FOREX","","","","",
"ICE Rotterdam Coal Futures","ATW","ATW","PK","NN89","","ICE Coal ARA","","","","",
"ICE Rotterdam Coal Options","ATW","ATW","PK","NN89","","ICE Coal ARA","","","","",
"Dollar Based Currency Pairs Aus. Dollar/US Dollar","AU","AU ","","","","FOREX","","","","",
"ICE Brent Crude American-style Options","B","BRN","BC","0952","","IPE e-Brent","","","","",
"ICE Brent Crude Futures","B","BRN","BC","0952","","IPE e-Brent","","","","",
"ICE Brent Crude Futures Minute Marker","B","BRN","BC","0952","","IPE e-Brent","","","","",
"ICE Brent Crude Futures Singapore Minute Marker","B","BRN","BC","0952","","IPE e-Brent","","","","",
"ICE Brent Crude Futures TAS","B","BRN","BC","0952","","IPE e-Brent","","","","",
"ICE ECX EUA Futures","C","ECF","","","","IPE-ECX Futures","","","","",
"ICE ECX EUA Futures Options","C","ECF","","","","IPE-ECX Futures","","","","",
"Cocoa Futures","CC","CC ","CY","2050","","Cocoa","","","","",
"Cocoa Futures TAMM","CC","CC ","CY","2050","","Cocoa","","","","",
"Cocoa Futures TAS","CC","CC ","CY","2050","","Cocoa","","","","",
"Cocoa Options","CC","CC ","CY","2050","","Cocoa","","","","",
"Cleared Cocoa Swap","CCC","CCC","ZC","CCC06","","Cocoa Swap","COCOA-ICE
","IFUS Cocoa
","Directly linked
","50
",
"ICE ECX CER Futures","CER","CER","CE","PH63","","ECX CER","","","","",
"ICE ECX CER Futures Options","CER","CER","CE","PH63","","ECX CER","","","","",
"ICE ECX CER Daily Futures","CES","CES","","","","ECX CER Daily","","","","",
"Continuous Commodity Index Futures","CI","CI ","","","","Commodity Index","","","","",
"Continuous Commodity Index Options","CI","CI ","","","","Commodity Index","","","","",
"Reuters Jefferies/CRB Index Futures","CR","CR ","","","","Commodity Index","","","","",
"Cotton No. 2 Futures","CT","CT ","28","2205","","Cotton No 2","","","","",
"Cotton No. 2 Futures TAMM","CT","CT ","28","2205","","Cotton No 2","","","","",
"Cotton No. 2 Futures TAS","CT","CT ","28","2205","","Cotton No 2","","","","",
"Cotton No. 2 Options","CT","CT ","28","2205","","Cotton No 2","","","","",
"ICE US Dollar Index&reg; Futures","DX","DX ","XD","2211","","US Dollar Index","","","","",
"ICE US Dollar Index&reg; Futures TAS","DX","DX ","XD","2211","","US Dollar Index","","","","",
"ICE US Dollar Index&reg; Options","DX","DX ","XD","2211","","US Dollar Index","","","","",
"ICE ECX EUA Daily Futures","ECS","ECS","EC","","","ECX EUA Daily","","","","",
"Euro Currency Pairs Euro/Japanese Yen Futures","EJ","EJ ","EJ","6604","","FOREX","","","","",
"Dollar Based Currency Pairs Euro/US Dollar Regular","EO","EO ","EO","W395","","FOREX","","","","",
"Euro Currency Pairs Euro/Canadian Dollar Futures","EP","EP ","","","","FOREX","","","","",
"ICE ECX ERU Futures","ERU","ERU","","","","ECX ERU","","","","",
"ICE ECX ERU Options","ERU","ERU","","","","ECX ERU","","","","",
"Euro Currency Pairs Euro/Czech Koruna Futures","EZ","EZ ","","","","FOREX","","","","",
"ICE ASCI Future","F","CRD","BA","TS86","","ICE WTI","","","","",
"ICE Gasoil Futures","G","GAS","GL","0950","","IPE e-Gas Oil","","","","",
"ICE Gasoil Futures Crack","G","GAS","","","","IPE Gas Oil Crk","","","","",
"ICE Gasoil Futures Singapore Minute Marker","G","GAS","GL","0950","","IPE e-Gas Oil","","","","",
"ICE Gasoil Futures TAS","G","GAS","GL","0950","","IPE e-Gas Oil","","","","",
"ICE Gasoil Futures U.S. Minute Marker","G","GAS","GL","0950","","IPE e-Gas Oil","","","","",
"ICE Gasoil, American-Style Options","G","GAS","GL","0950","","IPE e-Gas Oil","","","","",
"Euro Currency Pairs Euro/British Pound Futures","GB","GB ","GB","8536","","FOREX","","","","",
"Cross Currency Pairs British Pound Sterling/New Zealand Dollar Futures","GN","GN ","","","","FOREX","","","","",
"ICE GASPOOL Natural Gas Futures","GPM","GPM","","","","GASPOOL Nat Gas","","","","",
"Euro Currency Pairs Euro/Hungarian Forint Futures","HR","HR ","","","","FOREX","","","","",
"Cross Currency Pairs Canadian Dollar/Japanese Yen Futures","HY","HY ","","","","FOREX","","","","",
"Millions FX Australian Dollar / U.S. Dollar Futures","IAU","IAU","","","","FOREX Millions","","","","",
"Millions FX Euro / Japanese Yen Futures","IEJ","IEJ","","","","FOREX Millions","","","","",
"Millions FX Euro / U.S. Dollar Futures","IEO","IEO","","","","FOREX Millions","","","","",
"Millions FX Euro / Canadian Dollar Futures","IEP","IEP","","","","FOREX Millions","","","","",
"Millions FX Euro / British Pound Futures","IGB","IGB","","","","FOREX Millions","","","","",
"Millions FX U.S. Dollar / Swedish Krona Futures","IKX","IKX","","","","FOREX Millions","","","","",
"Millions FX U.S. Dollar / Swiss Franc Futures","IMF","IMF","","","","FOREX Millions","","","","",
"Millions FX British Pound / U.S. Dollar Futures","IMP","IMP","","","","FOREX Millions","","","","",
"Millions FX Euro / Swedish Krona Futures","IRK","IRK","","","","FOREX Millions","","","","",
"Millions FX Euro / Swiss Franc Futures","IRZ","IRZ","","","","FOREX Millions","","","","",
"Millions FX U.S. Dollar / Japanese Yen Futures","ISN","ISN","","","","FOREX Millions","","","","",
"Millions FX U.S. Dollar / Canadian Dollar Futures","ISV","ISV","","","","FOREX Millions","","","","",
"ICE UK Base Electricity Futures (Daily)","J","BPD","1A","P638","","IPE Baseld. EFA","","","","",
"Dollar Based Currency Pairs Aus. Dollar/US Dollar (100)","KAU","KAU","","","","FOREX","","","","",
"Dollar Based Currency Pairs Aus. Dollar/US Dollar (100) TAS","KAU","KAU","","","","FOREX","","","","",
"Coffee C &reg; Futures","KC","KC ","43","2065","","Coffee C","","","","",
"Coffee C &reg; Futures TAMM","KC","KC ","43","2065","","Coffee C","","","","",
"Coffee C &reg; Futures TAS","KC","KC ","43","2065","","Coffee C","","","","",
"Coffee C &reg; Options","KC","KC ","43","2065","","Coffee C","","","","",
"Cleared Coffee C Swap","KCC","KCC","ZK","KCC06","","Coffee C Swap","COFFEE ARABICA-ICE
","IFUS Coffee C
","Directly linked
","50
",
"Euro Currency Pairs Euro/Japanese Yen Futures (125)","KEJ","KEJ","","","","FOREX","","","","",
"Euro Currency Pairs Euro/Japanese Yen Futures (125) TAS","KEJ","KEJ","","","","FOREX","","","","",
"Dollar Based Currency Pairs Euro/US Dollar Regular (125)","KEO","KEO","","","","FOREX","","","","",
"Dollar Based Currency Pairs Euro/US Dollar Regular (125) TAS","KEO","KEO","","","","FOREX","","","","",
"Euro Currency Pairs Euro/Canadian Dollar Futures (125)","KEP","KEP","","","","FOREX","","","","",
"Euro Currency Pairs Euro/Canadian Dollar Futures (125) TAS","KEP","KEP","","","","FOREX","","","","",
"Euro Currency Pairs Euro/British Pound Futures (125)","KGB","KGB","","","","FOREX","","","","",
"Euro Currency Pairs Euro/British Pound Futures (125) TAS","KGB","KGB","","","","FOREX","","","","",
"Cross Currency Pairs Swedish Krona/Japanese Yen Futures","KJ","KJ ","","","","FOREX","","","","",
"Euro Currency Pairs Euro/Norwegian Krone Futures (125)","KOL","KOL","","","","FOREX","","","","",
"Euro Currency Pairs Euro/Norwegian Krone Futures (125) TAS","KOL","KOL","","","","FOREX","","","","",
"Euro Currency Pairs Euro/Australian Dollar Futures (125)","KRA","KRA","","","","FOREX","","","","",
"Euro Currency Pairs Euro/Australian Dollar Futures (125) TAS","KRA","KRA","","","","FOREX","","","","",
"Euro Currency Pairs Euro/Swedish Krona Futures (125)","KRK","KRK","","","","FOREX","","","","",
"Euro Currency Pairs Euro/Swedish Krona Futures (125) TAS","KRK","KRK","","","","FOREX","","","","",
"Euro Currency Pairs Euro/Swiss Franc Futures (125)","KRZ","KRZ","","","","FOREX","","","","",
"Euro Currency Pairs Euro/Swiss Franc Futures (125) TAS","KRZ","KRZ","","","","FOREX","","","","",
"Dollar Based Currency Pairs US Dollar/Swedish Krona","KX","KX ","","","","FOREX","","","","",
"Cross Currency Pairs Norwegian Krone/Japanese Yen Futures","KY","KY ","","","","FOREX","","","","",
"Cross Currency Pairs Swiss Franc/Japanese Yen Futures (250)","KZY","KZY","","","","FOREX","","","","",
"Cross Currency Pairs Swiss Franc/Japanese Yen Futures (250) TAS","KZY","KZY","","","","FOREX","","","","",
"ICE UK Natural Gas Futures (Daily)","L","GWD","WD","0959","","IPE Nat Gas","","","","",
"ICE UK Natural Gas Futures (Monthly)","M","GWM","WM","0960","","IPE Nat Gas","","","","",
"ICE UK Natural Gas Futures TAS","M","GWM","WM","0960","","IPE Nat Gas","","","","",
"ICE UK Natural Gas Options","M","GWM","WM","0960","","IPE Nat Gas","","","","",
"ICE ASCI Differential Futures","MEC","MEC","BB","TS85","","ICE WTI","","","","",
"Dollar Based Currency Pairs US Dollar/Swiss Franc","MF","MF ","","","","FOREX","","","","",
"ICE Middle East Sour Crude Futures","MID","MID","","OM09","","ICE MEC","","","","",
"ICE Middle East Sour Crude Futures Minute Marker","MID","MID","","OM09","","ICE MEC","","","","",
"ICE Middle East Sour Crude Futures TAS","MID","MID","","OM09","","ICE MEC","","","","",
"Dollar Based Currency Pairs British Pound/US Dollar Futures","MP","MP ","","","","FOREX","","","","",
"Dollar Based Currency Pairs British Pound/US Dollar Futures TAS","MP","MP ","","","","FOREX","","","","",
"ICE NYH (RBOB) Gasoline Futures","N","UHU","ON","NF70","","ICE RBOBGas","","","","",
"ICE NYH (RBOB) Gasoline Futures TAS","N","UHU","ON","NF70","","ICE RBOBGas","","","","",
"ICE NYH (RBOB) Gasoline/Heating Oil Futures Spread","N","UHU","ON","NF70","","RBOB/HO Spr","","","","",
"ICE NYH (RBOB) Gasoline/WTI Futures Crack","N","UHU","ON","NF70","","ICE RBOBGas Crk","","","","",
"ICE gC Newcastle Coal Futures","NCF","NCF","N1","QG65","","Coal Newc","","","","",
"ICE gC Newcastle Coal Options","NCF","NCF","N1","QG65","","Coal Newc","","","","",
"ICE NCG Natural Gas Futures","NGM","NGM","","","","NCG Nat Gas","","","","",
"Cross Currency Pairs Norwegian Krone/Swedish Krona Futures","NJ","NJ ","","","","FOREX","","","","",
"Dollar Based Currency Pairs US Dollar/Norw. Krone","NT","NT ","","","","FOREX","","","","",
"ICE Heating Oil Futures","O","UHO","OM","NF69","","ICE Heating Oil","","","","",
"ICE Heating Oil Futures TAS","O","UHO","OM","NF69","","ICE Heating Oil","","","","",
"FCOJ-A Futures","OJ","OJ ","96","2200","","FCOJ A","","","","",
"FCOJ-A Futures TAMM","OJ","OJ ","96","2200","","FCOJ A","","","","",
"FCOJ-A Futures TAS","OJ","OJ ","96","2200","","FCOJ A","","","","",
"FCOJ-A Options","OJ","OJ ","96","2200","","FCOJ A","","","","",
"Euro Currency Pairs Euro/Norwegian Krone Futures","OL","OL ","","","","FOREX","","","","",
"ICE UK Peak Electricity Futures (Monthly)","P","PPM","","P641","","IPE Peak EFA","","","","",
"Cross Currency Pairs British Pound Sterling/Canadian Dollar Futures","PC","PC ","","","","FOREX","","","","",
"Cross Currency Pairs British Pound Sterling/Norwegian Krone Futures","PK","PK ","","","","FOREX","","","","",
"Cross Currency Pairs British Pound Sterling/Swedish Krona Futures","PS","PS ","","","","FOREX","","","","",
"Cross Currency Pairs British Pound Sterling/South African Rand Futures","PZ","PZ ","","","","FOREX","","","","",
"Cross Currency Pairs British Pound Sterling/Australian Dollar Futures","QA","QA ","","","","FOREX","","","","",
"Euro Currency Pairs Euro/Australian Dollar Futures","RA","RA ","","","","FOREX","","","","",
"Robusta Futures","RC","RC ","RC","OV50","","Coffee C","","","","",
"Russell 1000 Index Mini TAS","RF","RF ","RF","ON25","","Russell Indices","","","","",
"Russell 1000&reg; Index Mini Futures","RF","RF ","RF","ON25","","Russell Indices","","","","",
"Russell 1000&reg; Index Mini Options","RF","RF ","RF","ON25","","Russell Indices","","","","",
"Russell 1000 Growth Index Mini Futures","RG","RG","","","","Russell Indices","","","","",
"Russell 1000 Growth Index TAS","RG","RG","","","","Russell Indices","","","","",
"Euro Currency Pairs Euro/Swedish Krona Futures","RK","RK ","","","","FOREX","","","","",
"Canola Futures","RS","RS ","","","","Canola","","","","",
"Canola Option","RS","RS ","","","","Canola","","","","",
"Russell 1000 Value Index Mini Futures","RV","RV","","UF14","","Russell Indices","","","","",
"Russell 1000 Value Index TAS","RV","RV","","UF14","","Russell Indices","","","","",
"Euro Currency Pairs Euro/Swiss Franc Futures","RZ","RZ ","RZ","6605","","FOREX","","","","",
"Sugar No. 11 Futures","SB","SB ","27","2055","","Sugar No 11","","","","",
"Sugar No. 11 Futures TAMM","SB","SB ","27","2055","","Sugar No 11","","","","",
"Sugar No. 11 Futures TAS","SB","SB ","27","2055","","Sugar No 11","","","","",
"Sugar No. 11 Options","SB","SB ","27","2055","","Sugar No 11","","","","",
"Cleared Sugar No. 11 Swap","SBC","SBC","ZS","SBC06","","Sugar 11 Swap","SUGAR # 11 (WORLD)-ICE
","IFUS Sugar No. 11
","Directly linked
","50
",
"Sugar No. 16 Futures","SF","SF ","","","","Sugar No 16","","","","",
"Dollar Based Currency Pairs US Dollar/Japanese Yen Futures","SN","SN ","","","","FOREX","","","","",
"Cross Currency Pairs British Pound Sterling/Swiss Franc Futures","SS","SS ","SS","2243","","FOREX","","","","",
"ICE FOB Indo sub-bit Coal Contract","SUB","SUB","","","","Indo Sub-Bit","","","","",
"Dollar Based Currency Pairs US Dollar/Canadian Dollar","SV","SV ","","","","FOREX","","","","",
"Cross Currency Pairs British Pound Sterling/Japanese Yen Futures","SY","SY ","SY","2242","","FOREX","","","","",
"ICE WTI Crude Futures","T","WBS","CS","R755","","ICE WTI","","","","",
"ICE WTI Crude Futures TAS","T","WBS","CS","R755","","ICE WTI","","","","",
"ICE WTI, American-Style Options","T","WBS","CS","R755","","ICE WTI","","","","",
"Russell 2000 Index Mini TAS","TF","TF ","TF","OQ31","","Russell Indices","","","","",
"Russell 2000&reg; Index Mini Futures","TF","TF ","TF","OQ31","","Russell Indices","","","","",
"Russell 2000&reg; Index Mini Options","TF","TF ","TF","OQ31","","Russell Indices","","","","",
"ICE Dutch TTF Gas Daily Futures","TTD","TTD","WA","","","Dutch TTF","","","","",
"ICE Dutch TTF Gas Futures","TTF","TTF","WB","","","Dutch TTF","","","","",
"ICE Central Appalachian Coal Futures","UCA","UCA","","","","Cen App Coal","","","","",
"ICE Powder River Basin Coal Futures","UCP","UCP","","","","PowRvrBas Coal","","","","",
"ICE CSX Coal Futures","UCX","UCX","","","","CSX Coal","","","","",
"Low Sulphur Gasoil Futures","ULS","ULS","","","","IPE e-Gas Oil","","","","",
"Low Sulphur Gasoil Futures Singapore MM","ULS","ULS","","","","IPE e-Gas Oil","","","","",
"Low Sulphur Gasoil Futures TAS","ULS","ULS","","","","IPE e-Gas Oil","","","","",
"Low Sulphur Gasoil Futures US MM","ULS","ULS","","","","IPE e-Gas Oil","","","","",
"Low Sulphur Gasoil Options","ULS","ULS","","","","IPE e-Gas Oil","","","","",
"Dollar Based Currency Pairs US Dollar/Czech Koruna","VC","VC ","","","","FOREX","","","","",
"Dollar Based Currency Pairs US Dollar/Hungarian Forint","VU","VU ","","","","FOREX","","","","",
"ICE UK Base Electricity Futures (Monthly)","Y","BPM","3A","P640","","IPE Baseld. EFA","","","","",
"Cross Currency Pairs Australian Dollar/Japanese Yen Futures","YA","YA ","","","","FOREX","","","","",
"NYSE Composite Index Futures","YU","XXX","","","","NYSE Comp","","","","",
"Euro Currency Pairs Euro/South African Rand Futures","YZ","YZ ","","","","FOREX","","","","",
"ICE UK Peak Electricity Futures (Daily)","Z","PPD","PD","P639","","IPE Peak EFA","","","","",
"Cross Currency Pairs New Zealand Dollar/Japanese Yen Futures","ZJ","ZJ ","","","","FOREX","","","","",
"Dollar Based Currency Pairs US Dollar/S.African Rand","ZR","ZR ","","","","FOREX","","","","",
"Dollar Based Currency Pairs New Zealand Dollar/US Dollar","ZX","ZX ","","","","FOREX","","","","",
"Cross Currency Pairs Swiss Franc/Japanese Yen Futures","ZY","ZY ","","6607","","FOREX","","","","",
